group,n_total,n_valid,n_found,coverage,mean,median,max,topk_mean,topk,cond_n,n_sample,temperature,cond_strategy,n_random
gen,2,2,2,1.0,8.402079757374604,8.402079757374604,9.184041364825703,8.402079757374604,10,2.0,1.0,1.0,random,
random,100,100,100,1.0,2.730933965599826,8.032724130337225,11.401066099683796,10.206704621187868,10,,,,,100.0
