group,n_total,n_valid,validity,n_unique,uniqueness,n_novel,novelty,n_found,coverage,mean,median,max,topk_mean,topk
gen,100,100,1.0,100,1.0,0,0.0,100,1.0,10.017525200365123,10.520431928297143,11.848997621570174,11.323623039209513,20
random,10000,10000,1.0,1468,0.1468,0,0.0,10000,1.0,3.40624540017188,8.032560842304985,11.848997621570174,11.67055470695936,20
