group,n_total,n_valid,n_found,coverage,mean,median,max,topk_mean,topk,cond_n,n_sample,temperature,cond_strategy,n_random
gen,644,644,644,1.0,5.0011437269081025,8.72116517707461,11.848997621570174,11.304110063245828,20,50.0,20.0,1.0,random,
random,1000,1000,1000,1.0,3.7416148506762505,7.978027419218516,11.598341403257532,11.16875486170505,20,,,,,1000.0
